CARRIER|ORIGIN|REGION,Sum,Count,Mean
9E|PVD|D,7251.000000,21,345.285714
MQ|SBP|D,4072.000000,8,509.000000
5X|PVG|P,103392.000000,24,4308.000000
SY|XWA|D,4088.000000,4,1022.000000
SY|SJD|L,8820.000000,5,1764.000000
SY|BTV|D,4935.000000,5,987.000000
AA|MID|L,17842.000000,22,811.000000
QX|HDN|D,3564.000000,4,891.000000
MQ|SFO|D,2604.000000,4,651.000000
MQ|BJX|L,2592.000000,3,864.000000
ABX|SJO|A,31170.000000,20,1558.500000
M6|NBW|L,12925.000000,11,1175.000000
AA|MVD|L,22310.000000,5,4462.000000
UA|PMI|A,19670.000000,5,3934.000000
DL|LIS|A,91826.000000,28,3279.500000
SY|CZM|L,8585.000000,5,1717.000000
XP|BGM|D,6972.000000,7,996.000000
UA|ANU|L,21396.000000,12,1783.000000
UA|HAV|L,11208.000000,12,934.000000
G4|STC|D,22531.000000,17,1325.352941
DL|EVV|D,700.000000,2,350.000000
OO|SJC|L,6095.000000,5,1219.000000
YV|RAP|D,2258.000000,5,451.600000
FX|SAL|L,11253.000000,11,1023.000000
OO|LAP|L,1670.000000,2,835.000000
YV|IAD|L,690.000000,2,345.000000
YV|ROA|D,1416.000000,8,177.000000
YV|BTV|D,3969.000000,9,441.000000
ZW|CLE|D,5607.000000,17,329.823529
3BQ|ASD|D,1629.000000,9,181.000000
SY|BKG|D,2304.000000,4,576.000000
QX|BRW|D,8700.000000,12,725.000000
MQ|TYR|D,612.000000,6,102.000000
3M|STI|I,4928.000000,16,308.000000
C5|ROW|D,587.000000,1,587.000000
VC|AKN|D,1152.000000,4,288.000000
DL|TLV|A,17031.000000,3,5677.000000
FX|ICN|P,91176.000000,24,3799.000000
AA|BNE|P,24897.000000,3,8299.000000
AA|JFK|P,54184.000000,8,6773.000000
ABX|SJU|D,5706.000000,4,1426.500000
5X|MGA|L,17238.000000,17,1014.000000
UA|RAK|A,10992.000000,3,3664.000000
SY|VPS|D,12696.000000,12,1058.000000
UA|SKB|L,17490.000000,10,1749.000000
AA|GUC|D,3390.000000,5,678.000000
XP|RDD|D,3888.000000,8,486.000000
MX|GJT|D,10083.000000,15,672.200000
MQ|QRO|L,867.000000,1,867.000000
MQ|LAS|D,3270.000000,3,1090.000000
MQ|LTO|L,4494.000000,6,749.000000
G7|CLT|D,2531.000000,7,361.571429
G7|TYS|D,1425.000000,3,475.000000
3M|SXM|I,2496.000000,13,192.000000
PT|YQB|D,1030.000000,2,515.000000
C5|PWM|D,2465.000000,5,493.000000
PT|RST|D,1876.000000,7,268.000000
ZW|ORF|D,2282.000000,6,380.333333
ZW|ART|D,1148.000000,4,287.000000
ZW|AVP|D,3160.000000,5,632.000000
FX|TVF|D,12456.000000,24,519.000000
FX|IND|A,153744.000000,37,4155.243243
ABX|SBD|A,345.000000,1,345.000000
5X|ICN|P,106372.000000,28,3799.000000
DL|LAS|P,6022.000000,1,6022.000000
AA|MIA|A,270549.000000,60,4509.150000
M6|MGA|L,43470.000000,25,1738.800000
FX|LFT|D,4249.000000,13,326.846154
SY|RTB|L,10030.000000,5,2006.000000
SY|LIR|L,14430.000000,6,2405.000000
SY|BZE|L,9525.000000,5,1905.000000
AA|AGS|D,2745.000000,3,915.000000
AS|SBP|D,3388.000000,4,847.000000
G4|PSP|D,8624.000000,8,1078.000000
G4|ROC|D,14055.000000,13,1081.153846
OH|FWA|D,2760.000000,6,460.000000
YX|FLL|D,21.000000,1,21.000000
9E|DFW|D,1391.000000,1,1391.000000
9E|MBS|D,490.000000,5,98.000000
ZW|PIT|D,826.000000,2,413.000000
OO|LAS|L,12996.000000,12,1083.000000
MQ|YQB|D,2640.000000,3,880.000000
MQ|ACK|D,4941.000000,6,823.500000
MQ|CLT|L,7157.000000,11,650.636364
MQ|SAF|D,6250.000000,12,520.833333
MQ|DAB|D,2391.000000,3,797.000000
MQ|GHB|L,2987.000000,10,298.700000
OH|TVC|D,5616.000000,8,702.000000
OO|ACA|L,4760.000000,5,952.000000
OO|PVR|L,7308.000000,6,1218.000000
YV|LBB|D,1832.000000,4,458.000000
YV|BUF|D,3396.000000,12,283.000000
YV|DRO|D,3476.000000,4,869.000000
G7|OMA|D,1664.000000,4,416.000000
G7|FAR|D,557.000000,1,557.000000
PT|SPI|D,348.000000,2,174.000000
FX|CIC|D,1032.000000,14,73.714286
FX|ONP|D,556.000000,13,42.769231
FX|LMT|D,4668.000000,24,194.500000
EM|ONP|D,556.000000,13,42.769231
EM|LMT|D,4668.000000,24,194.500000
OH|SCE|D,306.000000,2,153.000000
PT|FNT|D,211.000000,1,211.000000
5X|FAI|D,261.000000,1,261.000000
FX|GUP|D,2616.000000,24,109.000000
FX|FRA|A,61547.000000,13,4734.384615
FX|MEM|P,237235.000000,35,6778.142857
FX|STN|A,109144.000000,26,4197.846154
FX|HNL|P,234124.000000,47,4981.361702
FX|NRT|P,82166.000000,23,3572.434783
FX|ANC|A,4688.000000,1,4688.000000
5X|SPN|D,129.000000,1,129.000000
FX|CGN|A,69469.000000,15,4631.266667
FX|GUM|P,24373.000000,13,1874.846154
FX|LGG|A,147264.000000,32,4602.000000
5X|CVG|D,84.000000,1,84.000000
5X|PHL|A,267890.000000,72,3720.694444
5X|GUM|P,60354.000000,25,2414.160000
AA|HNL|P,10132.000000,2,5066.000000
AA|YYR|D,2287.000000,1,2287.000000
FX|HRL|L,532.000000,1,532.000000
FX|SJO|L,22771.000000,13,1751.615385
FX|YVR|D,36526.000000,23,1588.086957
FX|PTY|L,1152.000000,1,1152.000000
FX|KIX|P,391320.000000,74,5288.108108
ABX|EMA|A,3893.000000,1,3893.000000
ABX|SFO|D,26595.000000,26,1022.884615
5X|HNL|P,588726.000000,116,5075.224138
M6|PSM|D,2612.000000,2,1306.000000
M6|CHS|L,1097.000000,1,1097.000000
M6|SMF|D,2831.000000,2,1415.500000
M6|CVG|L,8350.000000,2,4175.000000
M6|BRU|L,97631.000000,24,4067.958333
M6|IAD|L,1437.000000,1,1437.000000
M6|BWI|D,599.000000,2,299.500000
M6|GSP|D,4683.000000,3,1561.000000
M6|LAX|D,2344.000000,1,2344.000000
M6|EDF|D,2344.000000,1,2344.000000
M6|LSV|L,5516.000000,1,5516.000000
M6|PBM|L,29511.000000,15,1967.400000
M6|ANC|D,29784.000000,10,2978.400000
M6|ICN|L,22794.000000,6,3799.000000
M6|MDE|L,5552.000000,4,1388.000000
M6|TER|L,30828.000000,12,2569.000000
M6|UVF|L,18526.000000,13,1425.076923
M6|CUR|L,9290.000000,9,1032.222222
M6|ORF|L,1722.000000,1,1722.000000
M6|GEO|L,19690.000000,10,1969.000000
