CARRIER|ORIGIN|REGION,Sum,Count,Mean
1HQ|DUB|I,3237.000000,1,3237.000000
U7|SLW|I,24203.000000,36,672.305556
U7|YIP|I,63244.000000,47,1345.617021
KO|VZY|D,580.000000,4,145.000000
TIQ|ATH|I,4945.000000,1,4945.000000
TIQ|LBG|I,3611.000000,1,3611.000000
TIQ|HOU|I,2178.000000,1,2178.000000
3AQ|CKU|D,88.000000,2,44.000000
KO|KSM|D,542.000000,2,271.000000
KO|7AK|D,261.000000,2,130.500000
LF|JZT|D,467.000000,1,467.000000
EM|PDX|D,16570.000000,101,164.059406
KO|EGX|D,1741.000000,7,248.714286
NIQ|JMK|I,4965.000000,1,4965.000000
CX|OAK|I,337.000000,1,337.000000
SY|MTY|D,1528.000000,2,764.000000
KO|EMK|D,789.000000,4,197.250000
KO|GAL|D,4848.000000,16,303.000000
AS|OTZ|D,29571.000000,55,537.654545
DE|PHX|I,28185.000000,5,5637.000000
0UQ|OAK|I,5863.000000,1,5863.000000
3FQ|LIN|I,4742.000000,1,4742.000000
0UQ|BRU|I,5530.000000,1,5530.000000
0UQ|OPO|I,3960.000000,1,3960.000000
QFX|LAX|I,5668.000000,1,5668.000000
EDQ|FOK|I,3857.000000,1,3857.000000
OO|CSG|D,1471.000000,15,98.066667
FI|ORD|I,94208.000000,32,2944.000000
QFX|MRY|I,2567.000000,1,2567.000000
EAU|HPN|I,1111.000000,1,1111.000000
27Q|SAC|D,156.000000,2,78.000000
GEQ|BCN|I,8380.000000,2,4190.000000
15Q|DTW|I,2105.000000,3,701.666667
QFX|PHL|I,1625.000000,2,812.500000
27Q|PA8|D,82.000000,1,82.000000
SWQ|LUX|I,5756.000000,1,5756.000000
CAZ|GYY|I,4441.000000,1,4441.000000
QFX|SFO|I,5098.000000,1,5098.000000
36Q|AMS|I,5565.000000,1,5565.000000
LF|MSN|D,708.000000,1,708.000000
QK|YQB|I,181.000000,1,181.000000
36Q|BDA|I,1522.000000,2,761.000000
1ZQ|EZE|I,5515.000000,1,5515.000000
AI|BOM|I,381660.000000,48,7951.250000
SWQ|GVA|I,21237.000000,4,5309.250000
27Q|HYA|D,2458.000000,3,819.333333
WS|SEA|I,19980.000000,42,475.714286
7S|BLI|D,1969.000000,2,984.500000
8E|WMO|D,9429.000000,143,65.937063
27Q|WKV|D,82.000000,1,82.000000
LY|LAX|I,136314.000000,18,7573.000000
KE|YWG|I,10705.000000,5,2141.000000
NLQ|MKG|I,545.000000,1,545.000000
QFX|LYS|I,5236.000000,1,5236.000000
W2|PUJ|I,914.000000,1,914.000000
K2|KLG|D,7374.000000,135,54.622222
0UQ|BKL|I,3922.000000,1,3922.000000
0UQ|BOS|I,3260.000000,1,3260.000000
G4|BLI|D,69433.000000,68,1021.073529
ABX|SLC|D,7641.000000,6,1273.500000
0UQ|PRG|I,15402.000000,3,5134.000000
7S|ILI|D,390.000000,2,195.000000
5V|PAQ|D,334.000000,1,334.000000
MQ|SHV|D,4580.000000,25,183.200000
VJT|BHD|I,2991.000000,1,2991.000000
KO|ANV|D,2255.000000,8,281.875000
WL|SBN|D,816.000000,1,816.000000
AS|SEA|L,335083.000000,145,2310.917241
W8|SJU|I,1889.000000,1,1889.000000
KLQ|BWI|D,1278.000000,3,426.000000
KO|DUT|D,29194.000000,63,463.396825
L2|KSM|D,6109.000000,14,436.357143
15Q|MMX|I,3884.000000,1,3884.000000
KO|ADQ|D,5950.000000,26,228.846154
UA|MDT|A,94.000000,1,94.000000
VJT|MLA|I,36718.000000,7,5245.428571
1BQ|EUG|D,1503.000000,1,1503.000000
KO|CDB|D,13829.000000,50,276.580000
VJT|POA|I,4294.000000,1,4294.000000
KO|NCN|D,1412.000000,14,100.857143
FX|MTY|L,11414.000000,13,878.000000
AA|ZIH|L,20704.000000,17,1217.882353
KO|JNU|D,11954.000000,41,291.560976
LF|SJT|D,648.000000,1,648.000000
AA|BGR|D,24536.000000,35,701.028571
TP|ORD|I,68153.000000,17,4009.000000
MX|SMF|D,1739.000000,1,1739.000000
SVW|FLL|I,6056.000000,3,2018.666667
24Q|FRG|I,3237.000000,1,3237.000000
KO|FAI|D,4824.000000,18,268.000000
7S|AKN|D,576.000000,2,288.000000
DL|ROC|D,32090.000000,51,629.215686
3EQ|BGR|D,2060.000000,1,2060.000000
NK|MCI|D,192962.000000,174,1108.977011
7S|FWL|D,236.000000,1,236.000000
VJT|BHM|I,5142.000000,1,5142.000000
C5|TAM|L,2208.000000,4,552.000000
MQ|HDN|D,6054.000000,6,1009.000000
IFQ|HPN|I,20887.000000,5,4177.400000
7S|ZNC|D,172.000000,3,57.333333
2AQ|FAB|I,4141.000000,1,4141.000000
UA|STL|L,258.000000,1,258.000000
GEQ|VNY|I,5835.000000,1,5835.000000
PD|MDW|I,444.000000,1,444.000000
04Q|PVU|D,1238.000000,1,1238.000000
WL|BWI|D,946.000000,1,946.000000
04Q|FCM|D,1032.000000,1,1032.000000
PFQ|GGH|I,9387.000000,1,9387.000000
04Q|CAE|D,614.000000,1,614.000000
ZW|HSV|D,4080.000000,8,510.000000
B0|SXM|I,5079.000000,3,1693.000000
K2|DLG|D,167.000000,1,167.000000
W8|EWR|I,8354.000000,10,835.400000
04Q|UGN|D,845.000000,1,845.000000
C5|CHS|D,6946.000000,15,463.066667
AR|JFK|I,42256.000000,8,5282.000000
36Q|MAD|I,18074.000000,4,4518.500000
MQ|ZIH|L,13106.000000,12,1092.166667
04Q|AHN|D,203.000000,1,203.000000
04Q|CHA|D,112.000000,1,112.000000
VJT|KLX|I,9827.000000,2,4913.500000
M6|ONT|L,13364.000000,4,3341.000000
3AQ|TKJ|D,455.000000,5,91.000000
AOQ|BER|I,3974.000000,1,3974.000000
LF|GFK|D,1964.000000,2,982.000000
3FQ|DLH|I,4987.000000,1,4987.000000
VJT|YYB|I,2262.000000,1,2262.000000
WN|MDW|L,148281.000000,93,1594.419355
UA|HNL|D,725115.000000,229,3166.441048
LF|ALE|D,1049.000000,1,1049.000000
6F|LVD|D,436.000000,2,218.000000
JX|TPE|I,191315.000000,30,6377.166667
SY|LGU|D,546.000000,1,546.000000
LF|LOT|D,732.000000,1,732.000000
N8|ISP|I,2003.000000,1,2003.000000
GCA|LAN|I,2039.000000,1,2039.000000
UA|BOS|P,200.000000,1,200.000000
LF|FCA|D,845.000000,1,845.000000
LF|RIL|D,1844.000000,3,614.666667
AN|PAO|D,314.000000,1,314.000000
GV|7AK|D,3410.000000,32,106.562500
LF|TUL|D,4243.000000,6,707.166667
SY|PBI|D,23141.000000,37,625.432432
GCA|JAX|D,20481.000000,19,1077.947368
OO|SGU|D,48215.000000,118,408.601695
3FQ|TUS|D,2974.000000,1,2974.000000
1HQ|TTN|I,56.000000,1,56.000000
LF|MCN|D,14878.000000,31,479.935484
04Q|DRO|D,1729.000000,1,1729.000000
24Q|OLB|I,4192.000000,1,4192.000000
OO|STL|D,38832.000000,73,531.945205
13Q|FRG|I,378.000000,1,378.000000
24Q|LGG|I,4089.000000,1,4089.000000
NLQ|CVG|I,713.000000,1,713.000000
PTQ|EXT|I,4305.000000,1,4305.000000
24Q|SNN|I,15841.000000,4,3960.250000
GJQ|DUB|I,5986.000000,2,2993.000000
WN|SAN|D,888359.000000,885,1003.795480
8E|NUI|D,524.000000,2,262.000000
G4|BNA|D,223315.000000,332,672.635542
HAQ|YQM|I,2083.000000,1,2083.000000
MQ|LSE|D,4010.000000,19,211.052632
HAQ|AUS|I,2083.000000,1,2083.000000
HAQ|RSW|I,1188.000000,1,1188.000000
LF|CGI|D,10790.000000,48,224.791667
HAQ|YPQ|I,885.000000,1,885.000000
7S|KGX|D,7157.000000,101,70.861386
36Q|ACK|I,3268.000000,1,3268.000000
27Q|MHR|D,357.000000,1,357.000000
10Q|MCO|I,1655.000000,2,827.500000
BR|ANC|I,213154.000000,62,3437.967742
HAQ|CAE|I,459.000000,1,459.000000
AOQ|MIA|I,40374.000000,12,3364.500000
UA|DTW|D,186045.000000,246,756.280488
15Q|NUQ|I,5352.000000,1,5352.000000
WST|FRD|D,480.000000,6,80.000000
15Q|HND|I,6787.000000,1,6787.000000
2LQ|HYA|D,31.000000,1,31.000000
1XQ|LBG|I,33785.000000,9,3753.888889
KFQ|FAR|I,4300.000000,3,1433.333333
3EQ|BUR|D,8565.000000,13,658.846154
1XQ|YUL|I,319.000000,1,319.000000
GV|CHU|D,249.000000,3,83.000000
N8|WAW|I,4267.000000,1,4267.000000
AOQ|BZZ|I,5180.000000,1,5180.000000
LF|TYS|D,3011.000000,6,501.833333
UA|TAM|L,2760.000000,5,552.000000
02Q|MIA|I,16328.000000,7,2332.571429
C5|AGU|L,2864.000000,4,716.000000
0Q|PDK|I,407.000000,1,407.000000
0Q|ORL|I,193.000000,1,193.000000
ZW|CMI|D,1080.000000,8,135.000000
15Q|AXA|I,4140.000000,3,1380.000000
HAQ|ORL|I,1352.000000,2,676.000000
C5|CVG|D,4332.000000,12,361.000000
GCA|SAT|D,14882.000000,21,708.666667
15Q|ODE|I,9486.000000,2,4743.000000
ZW|SGF|D,5256.000000,12,438.000000
15Q|RKE|I,3734.000000,1,3734.000000
G4|SBA|D,2059.000000,1,2059.000000
0Q|PHL|I,1097.000000,2,548.500000
15Q|MNL|I,7305.000000,1,7305.000000
GFQ|MSP|D,3132.000000,12,261.000000
15Q|HEL|I,4966.000000,1,4966.000000
3FQ|PHX|D,5144.000000,3,1714.666667
15Q|ITH|I,3966.000000,1,3966.000000
LF|MRB|D,412.000000,1,412.000000
15Q|DAL|I,1383.000000,1,1383.000000
15Q|AGP|I,3496.000000,1,3496.000000
LF|MTH|D,6489.000000,11,589.909091
15Q|RST|I,4301.000000,1,4301.000000
WGT|LAS|I,5252.000000,1,5252.000000
13Q|BMG|I,479.000000,1,479.000000
WGT|STR|I,11582.000000,2,5791.000000
VJT|NCE|I,196664.000000,41,4796.682927
BY|FTW|I,13944.000000,3,4648.000000
WGT|ZNQ|I,4317.000000,1,4317.000000
M6|BGR|L,4000.000000,1,4000.000000
ADB|IAH|I,9648.000000,4,2412.000000
13Q|MBJ|I,549.000000,1,549.000000
HA|HNL|D,743222.000000,339,2192.395280
N8|KWI|I,5974.000000,1,5974.000000
Y4|MZT|I,1646.000000,2,823.000000
C5|YQB|D,3732.000000,6,622.000000
WGT|HPN|I,3158.000000,1,3158.000000
5X|SDF|P,157272.000000,24,6553.000000
WGT|HAM|I,5536.000000,1,5536.000000
WGT|SZG|I,10042.000000,2,5021.000000
OO|GDL|L,13047.000000,13,1003.615385
VJT|RTM|I,3641.000000,1,3641.000000
WGT|JHF|I,4747.000000,1,4747.000000
CZ|WUH|I,77748.000000,12,6479.000000
EDQ|BCT|I,2836.000000,2,1418.000000
WGT|SMV|I,3646.000000,1,3646.000000
LF|SXM|D,1706.000000,1,1706.000000
WGT|PWK|I,723.000000,1,723.000000
AM|AUS|I,7460.000000,10,746.000000
WGT|MVY|I,184.000000,1,184.000000
NIQ|SOF|I,4666.000000,1,4666.000000
YX|ABE|D,459.000000,5,91.800000
WGT|VNY|I,11674.000000,2,5837.000000
WGT|GIG|I,4806.000000,1,4806.000000
QFX|DTW|I,383.000000,1,383.000000
OH|MSP|D,33937.000000,36,942.694444
3EQ|VIS|D,1149.000000,2,574.500000
VJT|SVD|I,18479.000000,8,2309.875000
WGT|IAD|I,20584.000000,6,3430.666667
KO|SMK|D,179.000000,1,179.000000
WGT|DTW|I,8900.000000,3,2966.666667
3EQ|IDA|D,533.000000,1,533.000000
LF|JAX|D,4889.000000,9,543.222222
27Q|JZT|D,780.000000,1,780.000000
3FQ|FCA|D,2846.000000,2,1423.000000
SY|MBS|D,12104.000000,12,1008.666667
2AQ|CUN|I,1558.000000,1,1558.000000
LF|RIC|D,955.000000,2,477.500000
3FQ|PWK|I,1790.000000,1,1790.000000
2AQ|DTW|I,491.000000,1,491.000000
AC|DTW|I,10087.000000,18,560.388889
U7|YIP|D,159554.000000,224,712.294643
04Q|ELM|D,715.000000,4,178.750000
3FQ|MVY|D,3757.000000,2,1878.500000
3FQ|STL|D,1721.000000,1,1721.000000
X9|ILM|I,323.000000,1,323.000000
PT|DTW|D,2748.000000,8,343.500000
3FQ|QMA|D,1857.000000,2,928.500000
AC|YWG|I,20083.000000,22,912.863636
3FQ|BLM|D,9523.000000,5,1904.600000
TK|ATL|I,193413.000000,46,4204.630435
J5|HNH|D,4993.000000,118,42.313559
09Q|GSP|D,2158.000000,4,539.500000
PT|BMI|D,116.000000,1,116.000000
U7|GCK|D,391.000000,1,391.000000
AOQ|DUB|I,7835.000000,2,3917.500000
W2|IAD|I,849.000000,1,849.000000
6F|KWN|D,4390.000000,71,61.830986
MX|LAS|D,242551.000000,133,1823.691729
3EQ|XWW|D,1054.000000,2,527.000000
CRV|FTW|I,13605.000000,3,4535.000000
GCA|YYR|I,5766.000000,4,1441.500000
3FQ|CXO|D,1466.000000,1,1466.000000
3FQ|SVH|D,2679.000000,3,893.000000
3FQ|SBN|D,1537.000000,2,768.500000
3FQ|PDX|D,3556.000000,5,711.200000
QR|SFO|I,80850.000000,10,8085.000000
LA|SDQ|I,848.000000,1,848.000000
GFQ|ANB|D,3123.000000,4,780.750000
SY|COU|L,1282.000000,1,1282.000000
AA|PHX|L,164193.000000,155,1059.309677
3FQ|SAA|D,273.000000,1,273.000000
6F|NME|D,5179.000000,79,65.556962
NC|PAP|I,7056.000000,12,588.000000
SWQ|YQG|I,1233.000000,1,1233.000000
36Q|ANU|I,3139.000000,2,1569.500000
27Q|SUA|D,2159.000000,4,539.750000
36Q|PLS|I,5532.000000,4,1383.000000
8C|PHX|D,48658.000000,44,1105.863636
U7|XNA|D,708.000000,1,708.000000
N8|HOU|D,3028.000000,4,757.000000
04Q|SHD|D,2627.000000,6,437.833333
36Q|CHS|I,586.000000,1,586.000000
36Q|GSP|I,637.000000,1,637.000000
36Q|MLB|I,1018.000000,1,1018.000000
MX|BUF|D,1298.000000,3,432.666667
LF|BJX|D,1373.000000,1,1373.000000
VJT|FLR|I,57837.000000,13,4449.000000
36Q|KEF|I,21871.000000,8,2733.875000
36Q|YYR|I,1083.000000,1,1083.000000
0UQ|SNN|I,13276.000000,4,3319.000000
9X|MGW|D,2531.000000,25,101.240000
OO|BRO|D,12323.000000,34,362.441176
VJT|SCF|I,28812.000000,7,4116.000000
LY|MIA|I,138663.000000,21,6603.000000
YV|IAH|D,563409.000000,859,655.889406
0Q|IAD|I,5217.000000,2,2608.500000
KL|BOS|I,120995.000000,35,3457.000000
04Q|LYH|D,904.000000,3,301.333333
27Q|SSI|D,835.000000,1,835.000000
7S|DLG|D,508.000000,2,254.000000
N8|DAY|D,2941.000000,2,1470.500000
GCA|PSM|I,1783.000000,1,1783.000000
0Q|TEB|I,15984.000000,7,2283.428571
AM|CUN|I,2124.000000,4,531.000000
SY|HRL|D,13310.000000,11,1210.000000
W2|FRG|I,4830.000000,2,2415.000000
KLQ|CVG|D,68307.000000,125,546.456000
W2|SXM|I,1701.000000,1,1701.000000
SWQ|LAS|I,5695.000000,1,5695.000000
LF|LAS|D,11367.000000,9,1263.000000
W8|PHX|I,27712.000000,6,4618.666667
AOQ|IAD|I,18997.000000,5,3799.400000
W2|SGR|I,1430.000000,1,1430.000000
OO|BIH|D,6175.000000,16,385.937500
L2|ANI|D,413.000000,2,206.500000
VJT|NRT|I,8931.000000,2,4465.500000
BQJ|GUM|I,814.000000,1,814.000000
Y9|YYC|I,11558.000000,8,1444.750000
GFQ|YHM|D,194.000000,1,194.000000
DL|SYR|D,37555.000000,63,596.111111
1EQ|MSL|D,1919.000000,1,1919.000000
UA|ATH|A,195867.000000,38,5154.394737
GCQ|PWK|I,4667.000000,1,4667.000000
0UQ|SAV|I,18729.000000,5,3745.800000
AOQ|LBG|I,26774.000000,6,4462.333333
AC|SAN|I,97025.000000,48,2021.354167
GCA|DAY|D,1282.000000,2,641.000000
YV|ZIH|L,1680.000000,2,840.000000
GCQ|AGP|I,4398.000000,1,4398.000000
27Q|TSM|D,1433.000000,3,477.666667
GCQ|BED|I,3453.000000,1,3453.000000
GCQ|MSY|I,5174.000000,1,5174.000000
GCQ|AMS|I,10211.000000,2,5105.500000
GCQ|LPL|I,4269.000000,1,4269.000000
UA|SJU|A,6395.000000,4,1598.750000
GCQ|FXE|I,5136.000000,1,5136.000000
LF|ELH|D,3277.000000,8,409.625000
AA|SRQ|D,78961.000000,107,737.953271
GCQ|IAD|I,4319.000000,1,4319.000000
3EQ|TTN|D,60.000000,1,60.000000
MX|TPA|D,263922.000000,318,829.943396
TA|LAS|I,11240.000000,5,2248.000000
GCQ|TEB|I,266.000000,1,266.000000
JEQ|STN|I,3485.000000,1,3485.000000
MQ|ICT|D,48733.000000,78,624.782051
ADB|STR|I,3549.000000,1,3549.000000
HYP|TEB|I,3967.000000,1,3967.000000
HYP|AGP|I,4081.000000,1,4081.000000
KO|PSG|D,13817.000000,60,230.283333
HYP|DTW|I,98.000000,1,98.000000
HYP|MAD|I,3249.000000,1,3249.000000
09Q|MQT|D,1072.000000,1,1072.000000
GQQ|TOG|D,388.000000,1,388.000000
MQ|STL|D,41946.000000,68,616.852941
GQQ|RDB|D,608.000000,1,608.000000
GQQ|OTZ|D,386.000000,1,386.000000
3FQ|SAF|D,1668.000000,1,1668.000000
3AQ|SCC|D,918.000000,7,131.142857
3AQ|MRI|D,320.000000,4,80.000000
36Q|CTA|I,10000.000000,2,5000.000000
DL|GSP|D,17961.000000,71,252.971831
5V|HCR|D,1710.000000,6,285.000000
SVW|PTK|I,404.000000,1,404.000000
0BQ|SJC|I,11588.000000,2,5794.000000
0BQ|SFO|I,11482.000000,2,5741.000000
FX|ABE|D,32082.000000,42,763.857143
0BQ|STR|I,9351.000000,2,4675.500000
0BQ|FMM|I,5861.000000,1,5861.000000
QFX|VIE|I,5610.000000,1,5610.000000
AMQ|TUP|D,456.000000,1,456.000000
U7|DSM|D,481.000000,1,481.000000
3FQ|SUN|D,1668.000000,4,417.000000
OO|PIH|D,2850.000000,20,142.500000
1HQ|FXE|I,3085.000000,1,3085.000000
3FQ|HOT|D,357.000000,1,357.000000
3FQ|BCT|D,9356.000000,9,1039.555556
36Q|YHZ|I,1557.000000,1,1557.000000
XP|ORD|D,2163.000000,4,540.750000
AA|TYS|D,45230.000000,82,551.585366
5V|TAL|D,569.000000,5,113.800000
KAH|SQV|D,318.000000,2,159.000000
0J|BOG|I,1506.000000,1,1506.000000
U7|BJX|D,468.000000,1,468.000000
ZW|IND|D,2061.000000,9,229.000000
5V|A6K|D,73.000000,1,73.000000
X9|OFF|I,1025.000000,1,1025.000000
5V|FBK|D,317.000000,3,105.666667
U7|AFW|D,29021.000000,47,617.468085
3AQ|ILI|D,636.000000,4,159.000000
N8|DFW|D,10957.000000,6,1826.166667
3AQ|BRW|D,520.000000,4,130.000000
JRQ|GNU|D,544.000000,3,181.333333
KFQ|TEB|I,26002.000000,6,4333.666667
GCA|FTW|D,433.000000,1,433.000000
3AQ|SWD|D,313.000000,4,78.250000
1BQ|MCI|I,6358.000000,1,6358.000000
04Q|HAO|D,98.000000,1,98.000000
VJT|RST|I,37311.000000,7,5330.142857
04Q|LCI|D,6356.000000,24,264.833333
HAQ|PHL|I,333.000000,1,333.000000
NLQ|YFB|I,2439.000000,1,2439.000000
3FQ|BJC|D,5490.000000,4,1372.500000
AA|LNK|D,3352.000000,5,670.400000
5V|CIK|D,5303.000000,31,171.064516
6F|CKD|D,4447.000000,51,87.196078
Y9|TPA|I,4786.000000,4,1196.500000
QX|BOI|D,50784.000000,107,474.616822
3FQ|MCO|D,8436.000000,7,1205.142857
WN|BNA|L,30131.000000,29,1039.000000
2JQ|LAX|D,14578.000000,26,560.692308
TEQ|HAM|I,3813.000000,1,3813.000000
8C|SUU|D,2476.000000,2,1238.000000
3FQ|DAL|D,3669.000000,4,917.250000
9K|GGW|D,2268.000000,12,189.000000
OO|HLN|D,25260.000000,62,407.419355
VJT|SKB|I,8817.000000,5,1763.400000
TEQ|HPN|I,6844.000000,2,3422.000000
AM|SAT|I,11425.000000,17,672.058824
3FQ|FLL|D,4221.000000,4,1055.250000
OO|GEG|D,59803.000000,106,564.179245
3FQ|ASE|D,13246.000000,12,1103.833333
3FQ|YYB|I,2262.000000,1,2262.000000
VJT|GMP|I,102209.000000,17,6012.294118
GCA|HOP|D,936.000000,1,936.000000
3FQ|SCF|D,4229.000000,7,604.142857
7S|SHH|D,3949.000000,39,101.256410
KAT|MLL|D,885.000000,2,442.500000
3FQ|LIH|D,2812.000000,3,937.333333
GCA|CVG|D,5713.000000,9,634.777778
3FQ|ELH|I,1610.000000,1,1610.000000
N8|NZY|I,1136.000000,1,1136.000000
SNK|MRI|D,5073.000000,102,49.735294
WL|BMG|D,534.000000,1,534.000000
DL|NRT|P,17798.000000,3,5932.666667
ZW|MQT|D,1515.000000,5,303.000000
ATQ|CIA|I,4298.000000,1,4298.000000
5X|ICT|D,13930.000000,31,449.354839
BY|MAN|I,54938.000000,13,4226.000000
ATQ|MAH|I,3960.000000,1,3960.000000
ATQ|GOA|I,3854.000000,1,3854.000000
VJT|BTV|I,5056.000000,2,2528.000000
ATQ|FAB|I,3300.000000,1,3300.000000
ATQ|BOS|I,3840.000000,1,3840.000000
KO|ENA|D,295.000000,5,59.000000
36Q|YVR|I,2620.000000,1,2620.000000
B6|HPN|D,87513.000000,96,911.593750
ATQ|AGP|I,3484.000000,1,3484.000000
27Q|SBA|D,12722.000000,16,795.125000
LF|ILG|D,1071.000000,2,535.500000
LF|HSH|D,2133.000000,2,1066.500000
X9|PIT|I,5707.000000,2,2853.500000
U7|FSM|D,615.000000,1,615.000000
AF|ATL|I,194738.000000,45,4327.511111
LF|IND|D,1830.000000,4,457.500000
5Y|PHX|I,6277.000000,1,6277.000000
HX|SPN|I,19251.000000,9,2139.000000
27Q|RDU|I,1976.000000,1,1976.000000
FX|SXM|L,2304.000000,12,192.000000
LF|SYI|D,287.000000,1,287.000000
GCA|PSP|D,84.000000,1,84.000000
KD|OKO|I,14050.000000,4,3512.500000
AN|TEB|D,6098.000000,3,2032.666667
FI|MSP|I,67735.000000,23,2945.000000
AMQ|LGB|D,3494.000000,2,1747.000000
9X|PHX|D,4455.000000,25,178.200000
36Q|SJC|I,5099.000000,1,5099.000000
9X|IPL|D,5880.000000,30,196.000000
04Q|LWM|D,855.000000,5,171.000000
OH|HSV|D,37815.000000,76,497.565789
9X|FLG|D,943.000000,2,471.500000
VJT|GND|I,1535.000000,1,1535.000000
09Q|BIF|D,2317.000000,2,1158.500000
3EQ|SUN|D,8262.000000,9,918.000000
AA|JAC|D,39307.000000,37,1062.351351
4W|WBQ|D,3939.000000,44,89.522727
MX|SBN|D,27606.000000,44,627.409091
9X|PRB|D,158.000000,1,158.000000
9X|CXL|D,153.000000,1,153.000000
W8|HNL|I,23017.000000,6,3836.166667
9X|SFO|D,558.000000,2,279.000000
9X|TUS|D,417.000000,1,417.000000
13Q|SCF|I,6404.000000,5,1280.800000
9X|FAT|D,702.000000,3,234.000000
27Q|BWI|D,5287.000000,10,528.700000
9X|APC|D,1944.000000,4,486.000000
4W|A26|D,715.000000,3,238.333333
9X|TVL|D,1181.000000,3,393.666667
U7|STL|D,8475.000000,16,529.687500
SY|FAI|D,19680.000000,12,1640.000000
9X|OAK|D,868.000000,2,434.000000
SY|YYZ|L,31440.000000,49,641.632653
9X|STS|D,827.000000,2,413.500000
9X|MMH|D,750.000000,3,250.000000
13Q|ATW|I,633.000000,2,316.500000
36Q|BTV|I,3260.000000,1,3260.000000
9X|SMO|D,3023.000000,10,302.300000
UA|JAN|D,213.000000,1,213.000000
2AQ|YHZ|I,1493.000000,1,1493.000000
WL|SDQ|I,3392.000000,4,848.000000
GEQ|PAD|I,3788.000000,1,3788.000000
SY|PIT|D,38661.000000,56,690.375000
TK|CUN|I,1554.000000,1,1554.000000
3EQ|GYE|D,2999.000000,1,2999.000000
KAH|ACV|D,2357.000000,5,471.400000
1BQ|PSM|I,5397.000000,1,5397.000000
3EQ|SAA|D,1330.000000,2,665.000000
LDQ|MIA|I,4584.000000,1,4584.000000
3EQ|YQA|D,2200.000000,1,2200.000000
3EQ|DUB|D,4954.000000,1,4954.000000
WS|DTW|I,65502.000000,37,1770.324324
13Q|SFO|I,2259.000000,1,2259.000000
3EQ|FLR|D,3985.000000,1,3985.000000
AN|LAR|D,1190.000000,2,595.000000
1BQ|IND|D,3153.000000,3,1051.000000
ADB|ATL|I,983.000000,1,983.000000
27Q|PSC|D,11145.000000,8,1393.125000
EM|SLE|D,987.000000,14,70.500000
04Q|MLB|D,1906.000000,9,211.777778
F9|CLE|L,96014.000000,61,1574.000000
LJ|ICN|I,26013.000000,13,2001.000000
SY|LBB|D,14240.000000,20,712.000000
ALQ|MIA|I,9755.000000,2,4877.500000
MQ|MKE|D,3365.000000,12,280.416667
3FQ|MRY|D,8656.000000,5,1731.200000
ALQ|BTS|I,5245.000000,1,5245.000000
QK|BOS|I,19440.000000,56,347.142857
8E|PQS|D,882.000000,5,176.400000
MX|CMH|D,70366.000000,114,617.245614
GCA|PVU|I,2970.000000,1,2970.000000
36Q|SBA|I,5669.000000,1,5669.000000
NIQ|LBG|I,12583.000000,3,4194.333333
UA|BOS|L,800.000000,4,200.000000
TQ|VA4|D,2183.000000,1,2183.000000
04Q|ENW|D,714.000000,1,714.000000
LF|AVP|D,116.000000,1,116.000000
TQ|JAC|D,1173.000000,1,1173.000000
9X|CLD|D,5876.000000,14,419.714286
3FQ|GGT|I,1213.000000,1,1213.000000
04Q|VSF|D,169.000000,1,169.000000
TQ|TEB|D,1876.000000,1,1876.000000
ABX|MCO|D,11580.000000,25,463.200000
25Q|ZRH|I,15547.000000,4,3886.750000
TQ|OPF|D,1130.000000,1,1130.000000
OO|LAF|D,119.000000,1,119.000000
2JQ|BUR|D,36771.000000,85,432.600000
0CQ|JNU|I,5290.000000,1,5290.000000
SY|BFL|D,255.000000,1,255.000000
0CQ|JFK|I,187.000000,1,187.000000
NC|SJO|I,11202.000000,10,1120.200000
XP|CSG|D,422.000000,1,422.000000
QFX|RIC|I,1482.000000,1,1482.000000
G4|GFK|D,56720.000000,47,1206.808511
5V|GEK|D,783.000000,3,261.000000
JCO|BQH|I,4224.000000,1,4224.000000
0CQ|ACK|I,392.000000,4,98.000000
SY|DFW|L,15523.000000,10,1552.300000
3EQ|YKF|D,2136.000000,1,2136.000000
5Y|VCP|I,80480.000000,20,4024.000000
0CQ|BWI|I,85.000000,1,85.000000
GCA|GNV|D,294.000000,1,294.000000
FX|GRI|D,1700.000000,14,121.428571
1HQ|GVA|I,4747.000000,1,4747.000000
KLQ|GSP|D,8938.000000,12,744.833333
3FQ|SIG|I,1047.000000,1,1047.000000
GFQ|DCU|D,1472.000000,2,736.000000
1BQ|MHT|D,1236.000000,1,1236.000000
GCA|LRD|D,45057.000000,49,919.530612
0CQ|MIA|I,3774.000000,3,1258.000000
04Q|VDI|D,560.000000,2,280.000000
VJT|LRD|I,128.000000,1,128.000000
V8|PAQ|D,42.000000,1,42.000000
XP|YYZ|D,2761.000000,3,920.333333
OO|DTW|D,386782.000000,1075,359.797209
0CQ|EWR|I,393.000000,2,196.500000
3FQ|HSH|D,12412.000000,16,775.750000
0CQ|CPH|I,3675.000000,1,3675.000000
VJT|HAJ|I,5598.000000,1,5598.000000
27Q|LAS|I,6396.000000,2,3198.000000
PT|ERI|D,8174.000000,19,430.210526
QFX|SJC|I,6585.000000,3,2195.000000
JRQ|GAM|D,531.000000,2,265.500000
9X|LUP|D,1062.000000,30,35.400000
JRQ|SVA|D,164.000000,1,164.000000
KAT|HPB|D,1072.000000,2,536.000000
G7|SBN|D,252.000000,3,84.000000
