CARRIER,ORIGIN,Sum,Count,Mean
1HQ,LAX,12129.000000,2,6064.500000
1HQ,LBG,3634.000000,1,3634.000000
1HQ,LYH,4255.000000,1,4255.000000
1HQ,MAO,2411.000000,1,2411.000000
1HQ,MCO,141.000000,1,141.000000
1HQ,MDW,6561.000000,3,2187.000000
1HQ,MKC,4626.000000,1,4626.000000
1HQ,NAS,187.000000,1,187.000000
1HQ,NCE,4853.000000,1,4853.000000
1HQ,NUE,5253.000000,1,5253.000000
1HQ,OPF,8420.000000,2,4210.000000
1HQ,OPO,4146.000000,1,4146.000000
1HQ,OSL,4442.000000,1,4442.000000
1HQ,PBI,10817.000000,3,3605.666667
1HQ,PHX,255.000000,1,255.000000
1HQ,PIE,1018.000000,1,1018.000000
1HQ,PRG,10228.000000,2,5114.000000
1HQ,PSA,5068.000000,1,5068.000000
1HQ,SCL,5112.000000,1,5112.000000
1HQ,STR,3549.000000,1,3549.000000
1HQ,TEB,26764.000000,8,3345.500000
1HQ,TTN,56.000000,1,56.000000
1HQ,ZRH,3934.000000,1,3934.000000
1QQ,STT,450.000000,10,45.000000
1QQ,STX,450.000000,10,45.000000
1UQ,BGR,51627.000000,29,1780.241379
1UQ,BOS,3687.000000,3,1229.000000
1UQ,BRU,3444.000000,1,3444.000000
1UQ,BWI,6976.000000,3,2325.333333
1UQ,CLE,314.000000,1,314.000000
1UQ,CVG,507.000000,1,507.000000
1UQ,EBL,6055.000000,1,6055.000000
1UQ,IAD,10056.000000,4,2514.000000
1UQ,IAH,1768.000000,1,1768.000000
1UQ,KEF,7956.000000,3,2652.000000
1UQ,LAX,3823.000000,2,1911.500000
1UQ,MOB,1435.000000,1,1435.000000
1UQ,MSP,4480.000000,2,2240.000000
1UQ,ORD,3912.000000,4,978.000000
1UQ,PHL,4037.000000,2,2018.500000
1UQ,PSM,449.000000,1,449.000000
1UQ,RST,2052.000000,2,1026.000000
1UQ,SJC,2769.000000,1,2769.000000
1UQ,SNN,5418.000000,2,2709.000000
1UQ,STN,31158.000000,10,3115.800000
1UQ,TEB,2840.000000,2,1420.000000
1XQ,BOS,3691.000000,1,3691.000000
1XQ,BWI,3814.000000,1,3814.000000
1XQ,FLL,1077.000000,1,1077.000000
1XQ,GOA,4943.000000,1,4943.000000
