CARRIER|ORIGIN,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
04Q|CCZ,33.000000,5,6.600000,48.000000,5,9.600000,6.000000,5,1.200000
04Q|CDW,17.000000,7,2.428571,56.000000,7,8.000000,7.000000,7,1.000000
04Q|CEF,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CGF,19.000000,4,4.750000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|CGI,6.000000,1,6.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CHA,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CHO,64.000000,21,3.047619,192.000000,21,9.142857,24.000000,21,1.142857
04Q|CHS,14.000000,4,3.500000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|CIW,10.000000,2,5.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|CLE,4.000000,3,1.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|CLT,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CMH,27.000000,6,4.500000,48.000000,6,8.000000,6.000000,6,1.000000
04Q|CMI,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CON,17.000000,6,2.833333,56.000000,6,9.333333,7.000000,6,1.166667
04Q|CRG,63.000000,17,3.705882,136.000000,17,8.000000,17.000000,17,1.000000
04Q|CT1,23.000000,9,2.555556,96.000000,9,10.666667,12.000000,9,1.333333
04Q|CT5,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CT7,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CTH,18.000000,5,3.600000,48.000000,5,9.600000,6.000000,5,1.200000
04Q|DAB,11.000000,3,3.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|DAL,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DAY,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DE2,7.000000,2,3.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|DE3,6.000000,4,1.500000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|DHN,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DKK,9.000000,3,3.000000,24.000000,3,8.000000,3.000000,3,1.000000
04Q|DNL,8.000000,2,4.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|DOM,14.000000,3,4.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|DOV,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DQN,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DRO,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DSI,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DXR,44.000000,11,4.000000,112.000000,11,10.181818,14.000000,11,1.272727
04Q|DYL,8.000000,3,2.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|ECP,13.000000,2,6.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|EEN,18.000000,4,4.500000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|EFK,8.000000,2,4.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|EIS,51.000000,10,5.100000,88.000000,10,8.800000,11.000000,10,1.100000
04Q|ELH,177.000000,34,5.205882,344.000000,34,10.117647,43.000000,34,1.264706
04Q|ELM,15.000000,4,3.750000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|ENW,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ERI,32.000000,10,3.200000,80.000000,10,8.000000,10.000000,10,1.000000
04Q|ESN,18.000000,5,3.600000,48.000000,5,9.600000,6.000000,5,1.200000
04Q|EWB,14.000000,5,2.800000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|EWR,100.000000,28,3.571429,256.000000,28,9.142857,32.000000,28,1.142857
04Q|EYW,128.000000,36,3.555556,312.000000,36,8.666667,39.000000,36,1.083333
