CARRIER|ORIGIN|REGION,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
04Q|BIM|D,30.000000,6,5.000000,48.000000,6,8.000000,6.000000,6,1.000000
04Q|BKL|D,11.000000,4,2.750000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|BKW|D,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|BLM|D,141.000000,34,4.147059,281.000000,34,8.264706,35.000000,34,1.029412
04Q|BML|D,11.000000,2,5.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|BNA|D,8.000000,4,2.000000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|BOS|D,555.000000,104,5.336538,1624.000000,104,15.615385,203.000000,104,1.951923
04Q|BOW|D,9.000000,2,4.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|BQN|D,9.000000,2,4.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|BQU|D,2.000000,2,1.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|BTP|D,12.000000,2,6.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|BTV|D,223.000000,51,4.372549,560.000000,51,10.980392,70.000000,51,1.372549
04Q|BUF|D,74.000000,26,2.846154,232.000000,26,8.923077,29.000000,26,1.115385
04Q|BVY|D,28.000000,10,2.800000,88.000000,10,8.800000,11.000000,10,1.100000
04Q|BWI|D,112.000000,36,3.111111,296.000000,36,8.222222,37.000000,36,1.027778
04Q|BZN|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CAE|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CCZ|D,33.000000,5,6.600000,48.000000,5,9.600000,6.000000,5,1.200000
04Q|CDW|D,17.000000,7,2.428571,56.000000,7,8.000000,7.000000,7,1.000000
04Q|CEF|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CGF|D,19.000000,4,4.750000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|CGI|D,6.000000,1,6.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CHA|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CHO|D,79.000000,22,3.590909,224.000000,22,10.181818,28.000000,22,1.272727
04Q|CHS|D,14.000000,4,3.500000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|CIW|D,10.000000,2,5.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|CLE|D,4.000000,3,1.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|CLT|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CMH|D,27.000000,6,4.500000,48.000000,6,8.000000,6.000000,6,1.000000
04Q|CMI|D,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CON|D,17.000000,6,2.833333,56.000000,6,9.333333,7.000000,6,1.166667
04Q|CRG|D,87.000000,19,4.578947,168.000000,19,8.842105,21.000000,19,1.105263
04Q|CT1|D,23.000000,9,2.555556,96.000000,9,10.666667,12.000000,9,1.333333
04Q|CT5|D,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CT7|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|CTH|D,18.000000,5,3.600000,48.000000,5,9.600000,6.000000,5,1.200000
04Q|DAB|D,24.000000,4,6.000000,40.000000,4,10.000000,5.000000,4,1.250000
04Q|DAL|D,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DAY|D,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|DE2|D,7.000000,2,3.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|DE3|D,6.000000,4,1.500000,32.000000,4,8.000000,4.000000,4,1.000000
