CARRIER|ORIGIN|REGION,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
13Q|YHZ|I,3.000000,2,1.500000,8.000000,2,4.000000,6.000000,2,3.000000
13Q|YIP|I,5.000000,1,5.000000,5.000000,1,5.000000,1.000000,1,1.000000
13Q|YKF|I,152.000000,30,5.066667,284.000000,30,9.466667,45.000000,30,1.500000
13Q|YLW|I,22.000000,4,5.500000,35.000000,4,8.750000,12.000000,4,3.000000
13Q|YMM|I,12.000000,1,12.000000,12.000000,1,12.000000,2.000000,1,2.000000
13Q|YMX|I,1.000000,1,1.000000,9.000000,1,9.000000,1.000000,1,1.000000
13Q|YNG|I,1.000000,1,1.000000,8.000000,1,8.000000,7.000000,1,7.000000
13Q|YOO|I,1.000000,1,1.000000,7.000000,1,7.000000,1.000000,1,1.000000
13Q|YOW|I,74.000000,12,6.166667,110.000000,12,9.166667,19.000000,12,1.583333
13Q|YPS|I,8.000000,2,4.000000,16.000000,2,8.000000,2.000000,2,1.000000
13Q|YQA|I,8.000000,4,2.000000,33.000000,4,8.250000,4.000000,4,1.000000
13Q|YQB|I,14.000000,3,4.666667,29.000000,3,9.666667,4.000000,3,1.333333
13Q|YQG|I,7.000000,3,2.333333,35.000000,3,11.666667,4.000000,3,1.333333
13Q|YQM|I,2.000000,1,2.000000,13.000000,1,13.000000,1.000000,1,1.000000
13Q|YQY|I,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
13Q|YUL|I,46.000000,13,3.538462,120.000000,13,9.230769,18.000000,13,1.384615
13Q|YVC|I,8.000000,1,8.000000,10.000000,1,10.000000,1.000000,1,1.000000
13Q|YVR|I,40.000000,13,3.076923,124.000000,13,9.538462,13.000000,13,1.000000
13Q|YXU|I,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
13Q|YYC|I,142.000000,28,5.071429,315.000000,28,11.250000,51.000000,28,1.821429
13Q|YYJ|I,1.000000,1,1.000000,10.000000,1,10.000000,1.000000,1,1.000000
13Q|YYT|I,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
13Q|YYZ|I,2244.000000,424,5.292453,5173.000000,424,12.200472,1052.000000,424,2.481132
15Q|AGP|I,4.000000,1,4.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|AMS|I,12.000000,2,6.000000,20.000000,2,10.000000,2.000000,2,1.000000
15Q|ANC|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|APA|I,4.000000,1,4.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|APF|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|ARN|I,12.000000,4,3.000000,54.000000,4,13.500000,4.000000,4,1.000000
15Q|AXA|I,33.000000,3,11.000000,44.000000,3,14.666667,3.000000,3,1.000000
15Q|BDL|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
15Q|BED|I,36.000000,14,2.571429,158.000000,14,11.285714,15.000000,14,1.071429
15Q|BER|I,3.000000,1,3.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|BGI|I,5.000000,2,2.500000,24.000000,2,12.000000,2.000000,2,1.000000
15Q|BGR|I,14.000000,5,2.800000,52.000000,5,10.400000,5.000000,5,1.000000
15Q|BHX|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|BKL|I,1.000000,1,1.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|BLK|I,4.000000,1,4.000000,10.000000,1,10.000000,1.000000,1,1.000000
15Q|BLL|I,5.000000,2,2.500000,28.000000,2,14.000000,2.000000,2,1.000000
15Q|BLQ|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|BMA|I,14.000000,6,2.333333,74.000000,6,12.333333,6.000000,6,1.000000
15Q|BOS|I,3.000000,2,1.500000,20.000000,2,10.000000,2.000000,2,1.000000
15Q|BQH|I,3.000000,3,1.000000,30.000000,3,10.000000,3.000000,3,1.000000
15Q|BRN|I,4.000000,1,4.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|BUD|I,6.000000,1,6.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|CLE|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
15Q|CPH|I,5.000000,2,2.500000,20.000000,2,10.000000,2.000000,2,1.000000
15Q|CVG|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
15Q|DAL|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|DBV|I,6.000000,1,6.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|DEN|I,1.000000,3,0.333333,14.000000,3,4.666667,3.000000,3,1.000000
15Q|DSM|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|DTW|I,3.000000,3,1.000000,36.000000,3,12.000000,3.000000,3,1.000000
15Q|EGE|I,2.000000,2,1.000000,24.000000,2,12.000000,2.000000,2,1.000000
15Q|EIS|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
15Q|ELH|I,4.000000,1,4.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|EWR|I,10.000000,3,3.333333,32.000000,3,10.666667,3.000000,3,1.000000
15Q|EYW|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|FAB|I,9.000000,4,2.250000,48.000000,4,12.000000,4.000000,4,1.000000
15Q|FLL|I,5.000000,1,5.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|FMO|I,5.000000,1,5.000000,16.000000,1,16.000000,1.000000,1,1.000000
15Q|FOK|I,5.000000,5,1.000000,50.000000,5,10.000000,6.000000,5,1.200000
15Q|GOT|I,5.000000,2,2.500000,26.000000,2,13.000000,2.000000,2,1.000000
15Q|GRQ|I,1.000000,1,1.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|GRU|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|GVA|I,9.000000,3,3.000000,39.000000,3,13.000000,3.000000,3,1.000000
15Q|HAN|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|HEL|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|HND|I,2.000000,1,2.000000,16.000000,1,16.000000,1.000000,1,1.000000
15Q|HOU|I,10.000000,2,5.000000,24.000000,2,12.000000,2.000000,2,1.000000
15Q|HPN|I,16.000000,6,2.666667,66.000000,6,11.000000,7.000000,6,1.166667
15Q|IAD|I,3.000000,1,3.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|IST|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|ITH|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|JFK|I,17.000000,12,1.416667,134.000000,12,11.166667,12.000000,12,1.000000
15Q|LAS|I,21.000000,3,7.000000,26.000000,3,8.666667,3.000000,3,1.000000
15Q|LAX|I,17.000000,3,5.666667,40.000000,3,13.333333,3.000000,3,1.000000
15Q|LBC|I,10.000000,2,5.000000,24.000000,2,12.000000,2.000000,2,1.000000
15Q|LGA|I,8.000000,7,1.142857,68.000000,7,9.714286,7.000000,7,1.000000
15Q|LIN|I,1.000000,1,1.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|LPL|I,1.000000,1,1.000000,10.000000,1,10.000000,1.000000,1,1.000000
15Q|LTN|I,26.000000,7,3.714286,90.000000,7,12.857143,7.000000,7,1.000000
15Q|MAD|I,6.000000,2,3.000000,20.000000,2,10.000000,2.000000,2,1.000000
15Q|MAN|I,1.000000,1,1.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|MDW|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|MEM|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
15Q|MIA|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|MMX|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|MNL|I,1.000000,1,1.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|MSY|I,4.000000,1,4.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|NAS|I,6.000000,2,3.000000,28.000000,2,14.000000,2.000000,2,1.000000
15Q|NCE|I,15.000000,7,2.142857,100.000000,7,14.285714,8.000000,7,1.142857
15Q|NUQ|I,3.000000,1,3.000000,16.000000,1,16.000000,1.000000,1,1.000000
15Q|ODE|I,9.000000,2,4.500000,28.000000,2,14.000000,2.000000,2,1.000000
15Q|OLB|I,1.000000,1,1.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|OPF|I,5.000000,2,2.500000,12.000000,2,6.000000,2.000000,2,1.000000
15Q|ORD|I,14.000000,1,14.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|OSD|I,6.000000,1,6.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|OSL|I,2.000000,2,1.000000,24.000000,2,12.000000,2.000000,2,1.000000
15Q|PBI|I,9.000000,5,1.800000,58.000000,5,11.600000,5.000000,5,1.000000
15Q|PDK|I,2.000000,1,2.000000,10.000000,1,10.000000,1.000000,1,1.000000
15Q|PDX|I,7.000000,2,3.500000,24.000000,2,12.000000,2.000000,2,1.000000
15Q|PGA|I,14.000000,1,14.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|PHL|I,2.000000,3,0.666667,16.000000,3,5.333333,3.000000,3,1.000000
15Q|PHX|I,8.000000,1,8.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|PIT|I,3.000000,1,3.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|PMI|I,4.000000,1,4.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|PWK|I,7.000000,5,1.400000,48.000000,5,9.600000,5.000000,5,1.000000
15Q|RKE|I,4.000000,1,4.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|ROA|I,8.000000,2,4.000000,14.000000,2,7.000000,2.000000,2,1.000000
15Q|ROG|I,4.000000,1,4.000000,10.000000,1,10.000000,1.000000,1,1.000000
15Q|RST|I,1.000000,1,1.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|SAV|I,3.000000,1,3.000000,10.000000,1,10.000000,1.000000,1,1.000000
15Q|SCL|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|SFO|I,14.000000,1,14.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|SGD|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|SGR|I,1.000000,2,0.500000,12.000000,2,6.000000,2.000000,2,1.000000
15Q|SGU|I,5.000000,1,5.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|SJC|I,8.000000,2,4.000000,26.000000,2,13.000000,2.000000,2,1.000000
15Q|SLC|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|SLK|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|SMV|I,2.000000,1,2.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|SNN|I,7.000000,2,3.500000,22.000000,2,11.000000,2.000000,2,1.000000
15Q|SSI|I,3.000000,1,3.000000,10.000000,1,10.000000,1.000000,1,1.000000
15Q|STN|I,3.000000,1,3.000000,10.000000,1,10.000000,1.000000,1,1.000000
15Q|STT|I,8.000000,2,4.000000,12.000000,2,6.000000,2.000000,2,1.000000
15Q|SWF|I,7.000000,2,3.500000,16.000000,2,8.000000,2.000000,2,1.000000
15Q|SYD|I,2.000000,1,2.000000,14.000000,1,14.000000,1.000000,1,1.000000
15Q|TEB|I,76.000000,33,2.303030,380.000000,33,11.515152,36.000000,33,1.090909
15Q|TLC|I,1.000000,1,1.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|TRN|I,1.000000,1,1.000000,10.000000,1,10.000000,1.000000,1,1.000000
15Q|VCE|I,1.000000,1,1.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|VNY|I,4.000000,3,1.333333,36.000000,3,12.000000,3.000000,3,1.000000
15Q|YHZ|I,6.000000,1,6.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|YQX|I,7.000000,1,7.000000,10.000000,1,10.000000,1.000000,1,1.000000
15Q|YUL|I,5.000000,1,5.000000,12.000000,1,12.000000,1.000000,1,1.000000
15Q|YYZ|I,5.000000,2,2.500000,24.000000,2,12.000000,2.000000,2,1.000000
15Q|ZRH|I,21.000000,9,2.333333,112.000000,9,12.444444,9.000000,9,1.000000
17Q|GVA|I,8.000000,2,4.000000,24.000000,2,12.000000,2.000000,2,1.000000
17Q|IAD|I,6.000000,2,3.000000,24.000000,2,12.000000,2.000000,2,1.000000
17Q|PSA|I,6.000000,2,3.000000,24.000000,2,12.000000,2.000000,2,1.000000
17Q|SXM|I,10.000000,1,10.000000,12.000000,1,12.000000,1.000000,1,1.000000
17Q|TEB|I,6.000000,3,2.000000,36.000000,3,12.000000,3.000000,3,1.000000
1BQ|ACT|D,153.000000,2,76.500000,484.000000,2,242.000000,2.000000,2,1.000000
1BQ|AEX|D,0.000000,1,0.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|ANC|D,209.000000,1,209.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|BDL|D,45.000000,1,45.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|BED|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|BHM|D,0.000000,3,0.000000,735.000000,3,245.000000,3.000000,3,1.000000
1BQ|BIF|D,245.000000,5,49.000000,1511.000000,5,302.200000,5.000000,5,1.000000
1BQ|BIF|I,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|BOS|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|BOS|I,176.000000,1,176.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|BWI|D,133.000000,1,133.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|BWI|I,0.000000,1,0.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|CAE|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|CHS|D,99.000000,1,99.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|CID|D,67.000000,1,67.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|CLT|D,131.000000,1,131.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|CMH|D,700.000000,2,350.000000,776.000000,2,388.000000,2.000000,2,1.000000
1BQ|CVG|D,202.000000,1,202.000000,390.000000,1,390.000000,1.000000,1,1.000000
1BQ|DFW|D,0.000000,1,0.000000,390.000000,1,390.000000,1.000000,1,1.000000
1BQ|DFW|I,352.000000,1,352.000000,390.000000,1,390.000000,1.000000,1,1.000000
1BQ|DSM|D,147.000000,2,73.500000,484.000000,2,242.000000,2.000000,2,1.000000
1BQ|ELP|D,885.000000,9,98.333333,2582.000000,9,286.888889,10.000000,9,1.111111
1BQ|EUG|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|EWR|D,135.000000,2,67.500000,484.000000,2,242.000000,2.000000,2,1.000000
1BQ|FAI|D,541.000000,2,270.500000,1210.000000,2,605.000000,5.000000,2,2.500000
1BQ|FCO|I,348.000000,1,348.000000,390.000000,1,390.000000,1.000000,1,1.000000
1BQ|GEG|D,192.000000,7,27.428571,2214.000000,7,316.285714,9.000000,7,1.285714
1BQ|GRK|D,0.000000,2,0.000000,632.000000,2,316.000000,2.000000,2,1.000000
1BQ|GSO|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|GUA|I,36.000000,2,18.000000,726.000000,2,363.000000,3.000000,2,1.500000
1BQ|GYR|D,0.000000,2,0.000000,628.000000,2,314.000000,2.000000,2,1.000000
1BQ|HOU|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|HRL|D,18.000000,3,6.000000,1004.000000,3,334.666667,4.000000,3,1.333333
1BQ|HRL|I,317.000000,1,317.000000,726.000000,1,726.000000,3.000000,1,3.000000
1BQ|IAD|D,86.000000,1,86.000000,386.000000,1,386.000000,1.000000,1,1.000000
1BQ|IND|D,130.000000,3,43.333333,870.000000,3,290.000000,3.000000,3,1.000000
1BQ|JFK|D,0.000000,3,0.000000,879.000000,3,293.000000,3.000000,3,1.000000
1BQ|JFK|I,1877.000000,3,625.666667,2048.000000,3,682.666667,6.000000,3,2.000000
1BQ|LAN|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|LGB|D,551.000000,2,275.500000,986.000000,2,493.000000,4.000000,2,2.000000
1BQ|LIR|I,226.000000,1,226.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|LRD|D,6.000000,1,6.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|LRD|I,398.000000,2,199.000000,726.000000,2,363.000000,3.000000,2,1.500000
1BQ|MCC|D,0.000000,1,0.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|MCI|D,0.000000,16,0.000000,4793.000000,16,299.562500,16.000000,16,1.000000
1BQ|MCI|I,0.000000,1,0.000000,390.000000,1,390.000000,1.000000,1,1.000000
1BQ|MCO|D,353.000000,2,176.500000,484.000000,2,242.000000,2.000000,2,1.000000
1BQ|MEM|D,124.000000,1,124.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|MGM|D,106.000000,2,53.000000,493.000000,2,246.500000,2.000000,2,1.000000
1BQ|MHT|D,0.000000,1,0.000000,390.000000,1,390.000000,1.000000,1,1.000000
1BQ|MIA|D,0.000000,1,0.000000,386.000000,1,386.000000,1.000000,1,1.000000
1BQ|N1C|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|NBW|I,0.000000,2,0.000000,502.000000,2,251.000000,2.000000,2,1.000000
1BQ|NGU|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|OAK|D,118.000000,1,118.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|OMA|D,76.000000,1,76.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|ONT|D,487.000000,1,487.000000,493.000000,1,493.000000,2.000000,1,2.000000
1BQ|PHL|D,0.000000,1,0.000000,386.000000,1,386.000000,1.000000,1,1.000000
1BQ|PHX|D,125.000000,2,62.500000,484.000000,2,242.000000,2.000000,2,1.000000
1BQ|PIT|D,90.000000,1,90.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|PSM|D,723.000000,3,241.000000,1027.000000,3,342.333333,3.000000,3,1.000000
1BQ|PSM|I,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|RIC|D,164.000000,1,164.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|RIV|D,704.000000,1,704.000000,726.000000,1,726.000000,3.000000,1,3.000000
1BQ|RMS|I,333.000000,2,166.500000,995.000000,2,497.500000,4.000000,2,2.000000
1BQ|RNO|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|SAN|D,890.000000,9,98.888889,2493.000000,9,277.000000,9.000000,9,1.000000
1BQ|SAP|I,40.000000,1,40.000000,726.000000,1,726.000000,3.000000,1,3.000000
1BQ|SAT|D,0.000000,1,0.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|SJU|D,499.000000,4,124.750000,1278.000000,4,319.500000,4.000000,4,1.000000
1BQ|SLC|D,342.000000,3,114.000000,735.000000,3,245.000000,3.000000,3,1.000000
1BQ|SLN|D,0.000000,3,0.000000,1112.000000,3,370.666667,4.000000,3,1.333333
1BQ|SNN|I,218.000000,1,218.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|SYR|D,450.000000,4,112.500000,1256.000000,4,314.000000,4.000000,4,1.000000
1BQ|TLH|D,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|TLV|I,1483.000000,3,494.333333,1795.000000,3,598.333333,5.000000,3,1.666667
1BQ|TUL|D,0.000000,1,0.000000,390.000000,1,390.000000,1.000000,1,1.000000
1BQ|TUS|D,179.000000,1,179.000000,390.000000,1,390.000000,1.000000,1,1.000000
1BQ|VOK|D,219.000000,1,219.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|YEG|D,83.000000,4,20.750000,1600.000000,4,400.000000,6.000000,4,1.500000
1BQ|YHZ|D,205.000000,1,205.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|YIP|D,0.000000,1,0.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|YIP|I,0.000000,1,0.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|YOD|D,0.000000,1,0.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|YQM|D,136.000000,1,136.000000,251.000000,1,251.000000,1.000000,1,1.000000
1BQ|YYT|D,0.000000,1,0.000000,242.000000,1,242.000000,1.000000,1,1.000000
1BQ|YYZ|D,112.000000,1,112.000000,242.000000,1,242.000000,1.000000,1,1.000000
1EQ|BFI|D,49.000000,1,49.000000,62.000000,1,62.000000,1.000000,1,1.000000
1EQ|BNA|D,46.000000,1,46.000000,62.000000,1,62.000000,1.000000,1,1.000000
1EQ|BUF|D,47.000000,1,47.000000,68.000000,1,68.000000,1.000000,1,1.000000
1EQ|CMH|D,47.000000,1,47.000000,62.000000,1,62.000000,1.000000,1,1.000000
1EQ|CPS|D,48.000000,1,48.000000,62.000000,1,62.000000,1.000000,1,1.000000
1EQ|CSL|D,324.000000,6,54.000000,372.000000,6,62.000000,6.000000,6,1.000000
1EQ|DAL|D,46.000000,1,46.000000,62.000000,1,62.000000,1.000000,1,1.000000
1EQ|DEN|D,49.000000,1,49.000000,68.000000,1,68.000000,1.000000,1,1.000000
1EQ|GEG|D,29.000000,1,29.000000,68.000000,1,68.000000,1.000000,1,1.000000
1EQ|GRB|D,68.000000,1,68.000000,68.000000,1,68.000000,1.000000,1,1.000000
1EQ|HOU|D,511.000000,9,56.777778,738.000000,9,82.000000,13.000000,9,1.444444
1EQ|KOA|D,4688.000000,12,390.666667,11647.000000,12,970.583333,158.000000,12,13.166667
1EQ|LAS|D,103.000000,2,51.500000,138.000000,2,69.000000,2.000000,2,1.000000
1EQ|LAX|D,350.000000,6,58.333333,487.000000,6,81.166667,7.000000,6,1.166667
1EQ|MCI|D,67.000000,1,67.000000,76.000000,1,76.000000,1.000000,1,1.000000
1EQ|MCO|D,561.000000,8,70.125000,608.000000,8,76.000000,8.000000,8,1.000000
1EQ|MDW|D,93.000000,2,46.500000,130.000000,2,65.000000,2.000000,2,1.000000
1EQ|MSL|D,54.000000,1,54.000000,62.000000,1,62.000000,1.000000,1,1.000000
1EQ|MSP|D,475.000000,9,52.777778,656.000000,9,72.888889,9.000000,9,1.000000
1EQ|OAK|D,5114.000000,20,255.700000,13204.000000,20,660.200000,186.000000,20,9.300000
1EQ|OGG|D,62.000000,1,62.000000,72.000000,1,72.000000,1.000000,1,1.000000
1EQ|ORD|D,70.000000,1,70.000000,72.000000,1,72.000000,1.000000,1,1.000000
1EQ|OTH|D,68.000000,1,68.000000,68.000000,1,68.000000,1.000000,1,1.000000
1EQ|PHL|D,47.000000,1,47.000000,62.000000,1,62.000000,1.000000,1,1.000000
1EQ|PHX|D,61.000000,1,61.000000,72.000000,1,72.000000,4.000000,1,4.000000
1EQ|PIT|D,46.000000,1,46.000000,62.000000,1,62.000000,1.000000,1,1.000000
1EQ|SAN|D,403.000000,7,57.571429,532.000000,7,76.000000,7.000000,7,1.000000
1EQ|SBA|D,210.000000,7,30.000000,532.000000,7,76.000000,7.000000,7,1.000000
1EQ|SJC|D,883.000000,17,51.941176,1232.000000,17,72.470588,18.000000,17,1.058824
1EQ|TLC|D,42.000000,1,42.000000,62.000000,1,62.000000,1.000000,1,1.000000
1EQ|YOW|D,47.000000,1,47.000000,68.000000,1,68.000000,1.000000,1,1.000000
1EQ|YYC|D,94.000000,2,47.000000,124.000000,2,62.000000,2.000000,2,1.000000
1EQ|YYZ|D,68.000000,1,68.000000,68.000000,1,68.000000,1.000000,1,1.000000
1HQ|ADJ|I,5.000000,1,5.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|APF|I,5.000000,3,1.666667,16.000000,3,5.333333,3.000000,3,1.000000
1HQ|ARN|I,4.000000,1,4.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|AUS|I,1.000000,1,1.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|BGR|I,2.000000,1,2.000000,18.000000,1,18.000000,1.000000,1,1.000000
1HQ|BOH|I,2.000000,1,2.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|BOS|I,1.000000,1,1.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|BQK|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
1HQ|BUD|I,15.000000,3,5.000000,48.000000,3,16.000000,3.000000,3,1.000000
1HQ|BZN|I,11.000000,1,11.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|DAL|I,5.000000,1,5.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|DBV|I,1.000000,1,1.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|DUB|I,7.000000,1,7.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|EDI|I,8.000000,1,8.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|FAT|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
1HQ|FLL|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
1HQ|FRA|I,3.000000,1,3.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|FXE|I,1.000000,1,1.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|GUF|I,2.000000,1,2.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|GVA|I,2.000000,1,2.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|IAD|I,7.000000,1,7.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|IST|I,1.000000,1,1.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|JAC|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
1HQ|LAS|I,5.000000,1,5.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|LAX|I,3.000000,2,1.500000,32.000000,2,16.000000,2.000000,2,1.000000
1HQ|LBG|I,3.000000,1,3.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|LYH|I,8.000000,1,8.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|MAO|I,5.000000,1,5.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|MCO|I,0.000000,1,0.000000,0.000000,1,0.000000,1.000000,1,1.000000
1HQ|MDW|I,7.000000,3,2.333333,32.000000,3,10.666667,3.000000,3,1.000000
1HQ|MKC|I,3.000000,1,3.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|NAS|I,2.000000,1,2.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|NCE|I,4.000000,1,4.000000,16.000000,1,16.000000,1.000000,1,1.000000
1HQ|NUE|I,5.000000,1,5.000000,16.000000,1,16.000000,1.000000,1,1.000000
